"ECB_00212"	"ECB_00503"	"ECB_00737"	"ECB_01992"	"ECB_02512"	"ECB_02800"	"ECB_02821"	"ECB_misc_RNA_47"	"ESCRE1397"	"ESCRE1901"	"IS3_insF"	"actP"	"araE"	"bcsB"	"bglJ"	"cls"	"crp"	"cysQ"	"dapA"	"dedA"	"deoA"	"dnaA"	"dusB"	"efeO"	"entF"	"fcl"	"fis"	"flhA"	"folM"	"ftsH"	"fusA"	"glgA"	"glgC"	"glgP"	"glgX"	"glmM"	"glmS"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"hsdR"	"hupB"	"hypE"	"iclR"	"ilvL"	"infB"	"ispH"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"malQ"	"mdoH"	"metA"	"metH"	"metJ"	"metW"	"mraY"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nrdR"	"nusA"	"ompR"	"pgaB"	"pitB"	"prc"	"pyrB"	"rep"	"rho"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rssB"	"sdaC"	"secF"	"slyA"	"sucB"	"sufI"	"thiI"	"thrA"	"tldD"	"torS"	"treF"	"truB"	"ubiB"	"ulaG"	"uspA"	"uxaA"	"valT"	"wbbD"	"wzyE"	"yahG"	"ybaL"	"ybbN"	"ybfA"	"ybhJ"	"ybjE"	"yccE"	"ydaE"	"ydbD"	"ydcN"	"yedW"	"yehU"	"yfgA"	"ygaD"	"ygdH"	"ygjF"	"yhaO"	"yhhF"	"yjaG"	"yjcC"	"yjcO"	"yjgN"	"yjhA"	"ylbH"	"ynjA"	"zraR"
"ECB_00212"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00503"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00737"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0377945954551866	0	0	0	0	0	0	0.114354163227534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0846876760743632	0	0	0	0	0	0	0.052412269869249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073410401484285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0459272279713611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0662101177476514	0	0	0	0	0.0474625777310291	0	0	0	0.0351986656609928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0110312146246607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02512"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0910442671971641	0	0	0	0	0	0	0	0	0	0	0	0.013624069113637	0	0	0	0	0	0	0	0	0	0	0	0.115506726794998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099578975427176	0	0	0	0	0	0	0	0.0451670799842872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02800"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093013413691883	0	0.0133987917106661	0	0	0	0	0.234870075051857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0470418061011593	0	0	0	0	0	0	0	0	0.0617320500527703	0	0	0	0	0	0	0	0	0.00498236073634941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0586388903442107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0515090943622792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	0	0	0	0	1	0	0.0756542971820477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331712859257248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0388604769231399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116538141159879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1397"	0	0	0	0	0	0	0	0	1	0.088281497094877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0664528878765315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	0.0756542971820477	0.088281497094877	1	0	0	0	0	0	0	0	0	0.00615446094195572	0	0	0	0	0	0	0	-0.00106975027031324	0	0	0	0	0	0	0	0	0	0.0258079344593833	0	0	0	0	0	0	0	0	-0.200549384565737	0	-0.00999958837249289	0	0	0.0964096918102643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.144685055569365	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216988501035685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
