"ECB_00212"	"ECB_00256"	"ECB_00490"	"ECB_00624"	"ECB_00737"	"ECB_01252"	"ECB_01992"	"ECB_02035"	"ECB_03714"	"ECB_03951"	"ECB_04076"	"ECB_misc_RNA_47"	"ECB_misc_RNA_7"	"ESCRE0483"	"ESCRE1328"	"ESCRE1901"	"ESCRE3628"	"ESCRE4497"	"actP"	"adhE"	"atpF"	"bssR"	"cls"	"cusC"	"cysH"	"cysQ"	"dapA"	"deoA"	"dfp"	"dgsA"	"dld"	"dnaA"	"dusB"	"emrB"	"endA"	"entF"	"eutJ"	"fadH"	"fadL"	"fbp"	"fcl"	"fimE"	"flgC"	"flhA"	"folM"	"fruK"	"fusA"	"gcp"	"glgA"	"glgC"	"glgP"	"glgX"	"glmM"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"hupB"	"hycE"	"hyfG"	"iclR"	"ilvL"	"ispH"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"leuV"	"leuX"	"livJ"	"lon"	"lptB"	"malQ"	"manZ"	"mdoG"	"mdoH"	"mdtE"	"metA"	"metJ"	"mhpR"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"murA"	"mutL"	"napA"	"narG"	"narY"	"nrdR"	"nusA"	"ompR"	"phnD"	"polB"	"potD"	"pqiB"	"proM"	"pta"	"puuD"	"pyrB"	"rep"	"rho"	"rhsA"	"rhsB"	"rluB"	"rmlB"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rpsA"	"rpsC"	"rpsR"	"rssB"	"secF"	"sgrR"	"thrA"	"tldD"	"torS"	"torY"	"truB"	"ubiB"	"uspA"	"valT"	"wzyE"	"yahA"	"ybaL"	"ybhI"	"ybhJ"	"ybiO"	"ybiV"	"yceF"	"ycfQ"	"yciQ"	"ydbD"	"ydcD"	"ydcR"	"ydcU"	"ydiJ"	"yebS"	"yecP"	"yegE"	"yehU"	"yejA"	"yfcD"	"yfeY"	"yfgA"	"ygdH"	"ygfK"	"ygjF"	"yhaO"	"yhdJ"	"yhhA"	"yhhF"	"yicC"	"yjbA"	"yjcC"	"yjcO"	"yjcR"	"yjeP"	"yjgN"	"yjhC"	"ylbH"	"yncB"	"yneH"	"ynjA"	"yqeA"	"zraR"
"ECB_04076"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0703850504555485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055173400472474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601124577157128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127562082078567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_7"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346715506390216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0483"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1328"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	0	0	0	0	0.0703850504555485	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135303611492847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.160530002124175	0	0	0	0.00173936343213602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0205625636906447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112147602739759	0	0	0	0	-0.0499271211640924	0	0	0	0.21560372271623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE3628"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE4497"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104720224877754	0	0	0	0	0.154781126196943	0	0	0	0	0	0	0	0	0	0	0.04984347286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0581652924572782	0	0	0	0	0	0	0.0363012854746621	0	0	0	0	-0.0584459638623793	0	0	0	0.0776364063980976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00370173384361456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"adhE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
