"ECB_02003"	"fbp"	"glgA"	"hrpA"	"iclR"	"kpsE"	"mrdA"	"mrdB"	"nuoM"	"pta"	"rho"	"rpoB"	"ybaL"	"yfdC"	"yicC"	"yjcF"	"znuA"
"ECB_02003"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25300303952737	0	0
"fbp"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.256158964423681	0	0
"glgA"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.188529133512342	0	0
"hrpA"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.252290136882722	0	0
"iclR"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.238509988628178	0	0
"kpsE"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.296091808039952	0	0
"mrdA"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.225741541106091	0	0
"mrdB"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.293003184063892	0	0
"nuoM"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.258162527445318	0	0
"pta"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.244812646750448	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.236298670335921	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.301666851476362	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yfdC"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.23397133874682	0	0
"yicC"	0.25300303952737	0.256158964423681	0.188529133512342	-0.252290136882722	-0.238509988628178	0.296091808039952	0.225741541106091	-0.293003184063892	-0.258162527445318	-0.244812646750448	-0.236298670335921	0.301666851476362	0	-0.23397133874682	1	0.302496229866888	-0.26136062983811
"yjcF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302496229866888	1	0
"znuA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.26136062983811	0	1
