"ECB_00376"	"ECB_01992"	"ECB_02008"	"ECB_04210"	"ESCRE0483"	"ESCRE1328"	"ESCRE1901"	"atpC"	"cls"	"crp"	"dgt"	"fruK"	"glgC"	"glgP"	"glmM"	"glmS"	"glpF"	"glpT"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"leuX"	"mdoH"	"metH"	"motB"	"mrdA"	"mrdB"	"mreB"	"napA"	"nuoN"	"nusA"	"ompR"	"poxA"	"pta"	"rho"	"rmlA"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rsmC"	"rssB"	"secF"	"slyA"	"sufD"	"truB"	"wbbC"	"ybaL"	"ybhI"	"yccE"	"yejM"	"yhhF"	"yjgQ"	"ykgG"	"yqeA"	"yraL"
"dgt"	0	0	0	0	0	0	0	0	0	0	1	0	0.145982042215807	0	0	0	0	0	0	0	0	-0.0194325309259304	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.141877419337179	0	0	0	0	-0.0396836436441723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0076229934978531	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.158669809051206	0	0	0	0	0.0753772836446037	0.0420274423868587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0.222642909700915	0	0.224489730496802	-0.193235936853364	0.0244657887779328	0.106426859936269	-0.138984305696737	0.105670585827165	0.00502915535215869	-0.0700894752202335	0.145982042215807	0	1	-0.219266052266756	-0.167649875897277	0.159033687318372	-0.0310300696271705	0.100241377365184	-0.071116362533085	0.149020950082485	0.102522406304202	-0.0768178563613094	0.108962206139584	0.100708275138453	0	-0.0703975648518322	0.0259472883554843	0.00239940791920879	-0.140871120294249	-0.180707834294639	0	-0.0248447905078561	-0.193920347199605	-0.154242098404322	0.152413292348547	-0.00212226901084584	-0.0171850733338275	-0.0227477309482122	-0.156291794290885	-0.0759742939119207	0	-0.0203210743007038	0.0339147673197465	-0.193337815743619	0.151920826277879	0	-0.190856175469111	-0.0792352171817685	-0.165746920034591	-0.0751197754387798	-0.0546949046518727	-0.122298761337697	0	0.223481533588079	0	-0.139917889836089	0.110113267497425	0.107911664764711	0.109326913546696
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	-0.219266052266756	1	0	0	0	0	0	0	0	0.0594864544273632	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0741551531206555	0	0	0	0	0.110303341817712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmM"	0	0	0	0	0	0	0	0	0	0	0	0	-0.167649875897277	0	1	0	0	0	0	0	0	0.0164268301750506	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171109905330166	0	0	0	0	0	0	0	0	0	0	0	0	0.016768636726306	0	0	0	0	0	0	0	0	0	0
"glmS"	0	0	0	0	0	0	0	0	0	0	0	0	0.159033687318372	0	0	1	0	0	0	0	0	-0.0258388140749106	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.144642518212801	0	0	0	0	-0.0313979971796412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0310300696271705	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00636387218460994	0	0	0	0	0.037363761638117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0.100241377365184	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.134302917646082	0	0	0	0	0.209860065337584	0.0391597484408391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	-0.071116362533085	0	0	0	0	0	1	0	0	0.0342624328227451	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.269707932044788	0	0	0	0	-0.11730552117069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0.149020950082485	0	0	0	0	0	0	1	0	-0.0973035922979165	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161837097622582	0	0	0	0	-0.104631593251181	-0.0577179442239016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
