"ESCRE2157"	"atoC"	"cls"	"dppD"	"frmB"	"fusA"	"glgC"	"iclR"	"malQ"	"mrdA"	"rpoB"	"rpoC"	"rpoD"	"rssB"	"tap"	"ybaL"	"ydbD"	"yjcC"	"yjgN"
"ESCRE2157"	1	0	0	0	0	0	-0.197869240395671	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	1	0	0	0	0	-0.203148456138597	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	1	0	0	0	-0.21566928187213	0	0	0	0	0	0	0	0	0	0	0	0
"dppD"	0	0	0	1	0	0	-0.220924033518122	0	0	0	0	0	0	0	0	0	0	0	0
"frmB"	0	0	0	0	1	0	-0.262406971250372	0	0	0	0	0	0	0	0	0	0	0	0
"fusA"	0	0	0	0	0	1	0.261472807691863	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	-0.197869240395671	-0.203148456138597	-0.21566928187213	-0.220924033518122	-0.262406971250372	0.261472807691863	1	-0.290159578759897	0.282826479237581	0.27451177180611	-0.28571525034559	0.244520344512812	0.227469476016635	0.204522552727272	-0.192818499790619	-0.248221991256508	0.194459759968308	0.184957247114845	0.202682212637671
"iclR"	0	0	0	0	0	0	-0.290159578759897	1	0	0	0	0	0	0	0	0	0	0	0
"malQ"	0	0	0	0	0	0	0.282826479237581	0	1	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0	0.27451177180611	0	0	1	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	-0.28571525034559	0	0	0	1	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0	0.244520344512812	0	0	0	0	1	0	0	0	0	0	0	0
"rpoD"	0	0	0	0	0	0	0.227469476016635	0	0	0	0	0	1	0	0	0	0	0	0
"rssB"	0	0	0	0	0	0	0.204522552727272	0	0	0	0	0	0	1	0	0	0	0	0
"tap"	0	0	0	0	0	0	-0.192818499790619	0	0	0	0	0	0	0	1	0	0	0	0
"ybaL"	0	0	0	0	0	0	-0.248221991256508	0	0	0	0	0	0	0	0	1	0	0	0
"ydbD"	0	0	0	0	0	0	0.194459759968308	0	0	0	0	0	0	0	0	0	1	0	0
"yjcC"	0	0	0	0	0	0	0.184957247114845	0	0	0	0	0	0	0	0	0	0	1	0
"yjgN"	0	0	0	0	0	0	0.202682212637671	0	0	0	0	0	0	0	0	0	0	0	1
