"ECB_00376"	"ECB_00503"	"ECB_00737"	"ECB_01413"	"ECB_01992"	"ECB_02008"	"ECB_02512"	"ECB_02800"	"ECB_04076"	"ECB_04210"	"ESCRE1397"	"ESCRE1901"	"IS3_insF"	"clpB"	"cls"	"crp"	"dapA"	"dedA"	"dnaA"	"dusB"	"fbp"	"fcl"	"fis"	"fruK"	"ftsH"	"glgC"	"glgP"	"glpR"	"hrpA"	"hupB"	"hyfG"	"iclR"	"infB"	"kpsD"	"kpsE"	"kpsM"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nuoM"	"nusA"	"ompR"	"pdhR"	"pitB"	"prc"	"pta"	"rep"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rsmC"	"rssB"	"secF"	"slyA"	"sucB"	"sufD"	"thrA"	"thrS"	"ulaG"	"uspA"	"valT"	"wbbC"	"wzyE"	"ybaL"	"ybbN"	"ybfA"	"ybhJ"	"ybjE"	"yeeJ"	"yehU"	"yejM"	"yfdC"	"yfhK"	"ygiV"	"yiaG"	"yjaG"	"yjbA"	"ylbH"	"yraM"	"znuA"
"ESCRE1397"	-0.00280080207648429	0.0276564198673643	0	0	0	-0.00576271101556702	0	0	0	0	1	0.0280274304557178	0	-0.0482378769925729	0	0	0	0.0267247385951207	0	0.00109910660579676	0	-0.00902268188241094	-0.00179626853519124	-0.0131187186203106	-0.0459629933747456	-0.0128297126878443	0	0	0	-0.0298784908486067	0	0	0	0.104309860875054	-0.00101491746924136	0	0	0	0	0.0465167878472201	0	0	-0.0246697408186395	0	0	0	-0.0317866329205946	0	0.0252716508486874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190604353976161	0	0	0	0.0199911194659501	0	0	0	0	0	0	0	0.0244232584143821	-0.0254008558721159	-0.00365049756362978	0	0	0.00432903512853949	0	-0.0968456095419976	0	0	0.000269558394914826	0
"ESCRE1901"	0	0	0	0	0	0	0	0	0	0	0.0280274304557178	1	0	-0.0715569861449754	0	0	0	0	0	0	0	-0.022906039891904	0	0	-0.066386041294976	0	0	0	0	-0.00183809663444697	0	0	0	0.00921020441571261	0	0	0	0	0	0.178135402602013	0	0	0	0	0	0	-0.010641094085725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00643532633468505	0	0	0	0	0	0	-0.178150506836955	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0299242226488501	0	0	0	0	0	0	0	0	-0.0259364327300303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147561958014008	0	0	0	0
"clpB"	0.002798798545102	-0.0548590690991174	0.00269033732163688	0	0.0805168425471209	0.00518627866792796	-0.0107630517543626	0	0.0297494527593623	0	-0.0482378769925729	-0.0715569861449754	0	1	0	0	0	-0.0546226092812369	0.00217847598109284	-0.0642719056977389	0.0336932969159449	0.0135781667552425	0.00425431424063087	0.0763384997804808	0.0271673122811812	0.0109005877943858	0.0305561915582996	0	-0.0166135846287807	0.07031889246113	0.0306461376632401	0	0	-0.0607931331131508	0.0714120730244238	0	0.0406693722858778	0.00503254036853646	0	-0.0603803935755189	0	0	0.0838372721099025	-0.0159775445678772	0	0	0.0682142700558388	0	-0.0543478708430522	-0.0153264347243439	-0.0115708964991201	0	0	-0.00661457349717781	0.014357640510256	0	0	0	0	0	0	1.82126455944093e-05	0.0410583595245272	-0.0674786919692734	0.0501354503307113	0	-0.0127192319357472	-0.0678567372647705	0.0428937042834473	0.005224047565469	0	0	-0.0121020220536627	0.00404047127756251	2.79197683366836e-05	-0.0488513400994176	0.0703733337386305	0.0035096519892946	-0.0149587427771261	0	-0.0659023893639453	0	0.00538011314776043	0.0347751023475064	0	-0.0646446231076166	-0.0176891465565231
"cls"	0	0	0	0	0	0	-0.00908902870404794	0	0	0	0	0	0	0	1	0.137429981871365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142972242373955	0	0	0	0	0	0.0338182032712219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0823224811401684	0	0	0	0
"crp"	0.0350084896951899	0	-0.089075189234818	-0.0627410195647593	0.0846435683099372	0.0368933067690985	-0.0929487044121028	0	0	0	0	0	0	0	0.137429981871365	1	-0.0890103352977786	0	0	-0.0485463570203873	0	-0.0836032323491062	0	0	-0.00995634292495703	0.0405398901338884	0.050329378428016	0.136445949252769	0	0	0	0	0	-0.1034678639893	0	0	0.0934710392905635	0.101035430876116	0	0	0	-0.0621800993338319	0.00651096138009058	0	-0.0326653069939084	0	0	0.106357589035928	0	0	-0.10368765250609	0.0481757526716767	-0.0550450895962744	-0.000413101207537758	0.0044593440148285	0.0073809072178764	-0.0618054593310592	0	-0.0900210379234738	0	0	0	0.0947644615187504	0	0.0511234948632072	0	-0.100340785315798	0	0.0881289624312047	0.0982577132214266	0.0109113320029152	0.105316111289112	-0.104115018944172	0.0970474313219313	0	-0.0385781382028283	0	0.0348369795796567	0	0	-0.0484420274349428	-0.0589012247799868	-0.0718740053554631	0	-0.0879421123242954	-0.0482990634302219	0
"dapA"	0	0	0.00519445346052782	0	0	0	0.0140476038108143	0	0	0	0	0	0	0	0	-0.0890103352977786	1	0	0	0	0	0.0320889199812229	0	0	0.0165363458498093	0	0	0	0	0	0	0	0	0.0130599183752667	0	0	0	0	0	-0.116864412715477	0	0	0	0	0	0	0	-0.00608571497268096	0	0	0	0	0	0	0	0	0	0	0.00153081556219133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1094191860432	0	0	0	0
"dedA"	0	0	0	0	0	0	0	0	0	0	0.0267247385951207	0	0	-0.0546226092812369	0	0	0	1	0	0	0	0	0	0	-0.0469599732363746	0	0	0	0	-0.00730770600653412	0	0	0	0.1024258232209	0	0	0	0	0	0.0660650670926547	0	0	0	0	0	0	-0.0123754981846148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183311156901484	0	0	0	0	0	0	-0.099908567136783	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00217847598109284	0	0	0	0	1	0	0	0	0	0	0.0367647304807993	0	0	0	0	0	0	0	0	-0.0354991911648559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164232095112902	0	0	0	0
"dusB"	0	0	0	0	0	0	0.00638552967517448	0	0	0	0.00109910660579676	0	0	-0.0642719056977389	0	-0.0485463570203873	0	0	0	1	0	0	0	0	-0.00202669389066464	0	0	0	0	-0.00162148518085396	0	0	0	0.0996787526379337	0	0	0	0	0	0.104277005458258	0	0	0	0	0	0	-0.00477863900991385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00268660024424329	0	0	0	0	0	-0.0240103277463432	0	0	0	0	0	0	0.0450440572274601	0	0	0	0	0.00656373437708067	0	0.019876134314385	0	0	0	0
