"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"
"ECB_00737"	1	0	0	0	0.0277738523587542	0	0	0	0	0	-0.00744202013597431	0.0660791930516471	0.132378421856172	0	0	0.0235454674189508	0	0	0	0	0	0	0	0.0159611048520637	0	0	0	0	0	0.000733512304892079	0	0	0	0	-0.00761446805896912	0	0	0	-0.00755037801039956	0	-0.00533208700637829	0	0	0	0	0	0	0	0	0	0.00395481619529517	0.00700291378665138	0	0	0	0.00774413748570209	0.0292266847036967	0.00558386985640674	0	0.00182051486401603	0	0	0	0	0	0	0	0	0	-0.0221107147404247	0.0244542929546335	0
"ECB_01992"	0	1	0	0.0243505004161407	-0.00857412140876088	0	0	0	0	0	-0.0509125701408625	-0.0394490229595688	-0.0248694714371459	0	0	-0.007095940542401	0	0	0	0	0.0039300371501571	0	0	-0.0180858811709159	0	0	0	0.0230124546718775	0	0	0	0	0	0.0221799247341793	0	0	0	0	0	0	0	0.0228568398297648	-0.00851902110961565	0	0.0188313509771204	0.0155322346081621	0	0	0.0178725295688056	-0.00597777760128378	0	-0.010686121683264	0.0223796692191336	0	0.03074655552297	0	-0.0089940396591012	0	0	0	0	0	0	0	0	0	0	0	0.0182719244635046	0.161744742038661	0	0
"ECB_02816"	0	0	1	0	0	0	0	0	0.0144325792732848	0	0.000457441956278034	-0.00715905233463101	0.00492018780048604	0	0	0	-0.0027412511628517	0.0163779968467147	0	0	0	0	0	0	0	0.0161709819889916	0	0	0.0183431751161525	0	0.014141669440158	0	0	0	0	0	0.0154169925445205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167425453313697	0.0168646306689101	0	0	0	0	0	0	0.203098318292086	0
"ECB_03722"	0	0.0243505004161407	0	1	-0.000621176783796834	0	0	0	0	0	-0.0568689190747444	-0.0383974982056546	-0.00784288251678069	0	0	0	0	0	0	0	0	0	0	-0.011551697636888	0	0	0	0.0147480316906982	0	0	0	0	0	0.0135665977076384	0	0	0	0	0	0	0	0.0145124171841306	-0.0073758612978813	0	0.00901519823066821	0.00462399632033552	0	0	0.00773129560542594	0	0	-0.00226624024861129	0.0138279313801865	0	0.0260682936961534	0	-0.00102828434154216	0	0	0	0	0	0	0	0	0	0	0	0.00825965941716654	0.179847770096199	0	0
"acpP"	0.0277738523587542	-0.00857412140876088	0	-0.000621176783796834	1	0	0	0.0268261902464435	0	-0.00189384352558355	-0.025737569268913	0.0716271562208609	0.0973808713882332	0	0	0.0328384025265338	0	0	0	0	0	0.0108437968100302	0	0.0416869173441575	-0.0373161561451239	0	0	0	0	0.0276982100987436	0	0	0	0	-0.0309643649724461	0	0	0	-0.0309529749241067	0	-0.030432129045931	0	-0.00898770101636962	0	0	0	-0.0286054821123841	0	0	0	0.0286297601440846	0.0377510322744574	0	0	-0.0101674062357154	0.0297399782146548	0.0342997747617329	0.0291477287957889	0.0243662192366415	0.0280995066380318	0	0.024120658498616	0	0	0	0	0.0196970411761646	0	0	-0.0321128079757508	0.00785897403808612	0
"appC"	0	0	0	0	0	1	0	0	0	0	0.115827396729848	-0.0264889879414964	-0.0610842316468827	0	0	0	0	0	0	-0.0018198368440392	0	0	0	0	0	0	0	0	0	0	0	0	0.0146795399515687	0	0	0	0	0	0	0.0130196216815731	0	0	0.0348073860491093	0	0	0	0	0.0167456890494912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196353854554412	0	0.0150161879882184	0	-0.116280667164414	0.00688364578015065	0.0133511845031673
"arcA"	0	0	0	0	0	0	1	0	0	0	0.0451762256235603	0	0.0310929842792664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.208188451564785	0.169154985453993	0
"cycA"	0	0	0	0	0.0268261902464435	0	0	1	0	0	-0.00686288470058126	0.0650439433731042	0.135478870891834	0	0	0.0222353633461894	0	0	0	0	0	0	0	0.0125624706258144	0	0	0	0	0	0	0	0	0	0	-0.00473810766886768	0	0	0	-0.00466175839843553	0	-0.00222318724918109	0	0	0	0	0	0	0	0	0	0.000931404786391017	0.00298877397961185	0	0	0	0.00504955424580397	0.0283418765925741	0.00268499238712519	0	0	0	0	0	0	0	0	0	0	0	-0.0177217440142055	0.0254849608988293	0
"envZ"	0	0	0.0144325792732848	0	0	0	0	0	1	0	0.00171532006929263	-0.0101569590550767	0.00786962949700216	0	0	0	-0.00537692463006641	0.0191466103009794	0	0	0	0	0	0	0	0.0189398175084356	0	0	0.0209659998840009	0	0.0170304816422496	0	0	0	0	0	0.0182203847626063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194564264465495	0.0195443931806748	0	0	0	0	0	0	0.201087531292103	0
"fabF"	0	0	0	0	-0.00189384352558355	0	0	0	0	1	0	0	-0.108958280209768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010219990475576	0	0	0	0.0101333367243373	0	0.00695770980041696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00412131802863382	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.221916984146674	0
