"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"
"flgB"	-0.00744202013597431	-0.0509125701408625	0.000457441956278034	-0.0568689190747444	-0.025737569268913	0.115827396729848	0.0451762256235603	-0.00686288470058126	0.00171532006929263	0	1	-0.0618935199602565	-0.113608146016792	-0.00126608988010559	0	-0.0207256788027128	-0.0054630939430678	0.00243640366484496	0.00388374432711868	-0.164668449816219	0	-0.00194770596024191	0.123814514829074	-0.0222640092140037	0.0355279508213533	0.0023578395109852	0.00598402406252282	-0.0591099875673284	0.00300733956259264	-0.00748867267559412	0.00158388327362774	0	0.115502134320248	-0.0600317489613767	0.0120795486550569	-0.00257994900139758	0.00210217273343684	-0.000512353949523458	0.0120582175617111	0.116323724075499	0.0107350239330609	-0.0593273508177847	0.100284447323642	0.0379971115202893	-0.0608450653102413	-0.0581810404209864	0.00930902978042587	0.114570272505946	-0.0602952341476645	0.122553912304582	-0.00839205860829264	-0.0168168964436872	-0.0598607920813196	-0.00136761552451482	-0.0507263510055102	-0.0097081223572567	-0.0273539905963078	-0.00904702983135354	-0.00576441498032116	-0.00784122834436665	-0.00119353454256801	-0.00564786435254073	0.00249916917492099	0.00255187484369078	0	0.113170296838617	0	0.115328456572697	-0.0606427978234955	-0.0877995446572285	0.0110262613778579	0.116232020368878
"hokB"	0.0660791930516471	-0.0394490229595688	-0.00715905233463101	-0.0383974982056546	0.0716271562208609	-0.0264889879414964	0	0.0650439433731042	-0.0101569590550767	0	-0.0618935199602565	1	0.11331842769183	0.0950814860842715	0	0.072491697038602	0.0949932362511512	-0.0120160669757817	0	0.0509412376424507	-0.109298246611886	0	-0.0806184425991235	0.165889446896302	-0.110649108088841	-0.0118109319114374	0	-0.0335752718658184	-0.0140073397935013	0.0660957946735778	-0.00987007200977774	0	-0.026695288195549	-0.0308635542853405	-0.0324513767051411	0.0956853561805994	-0.0110715800247346	0.092414974543414	-0.0324878469730017	-0.0259063924499845	-0.033114539671807	-0.0329706241502422	-0.0332861176703565	-0.147059428406455	-0.023344645652282	-0.0212458434859139	-0.0331824825867232	-0.0273972318906272	-0.0222960028549264	0	0.067522383520332	0.171286888940368	-0.0314352652773184	0.0956286289509887	-0.0383365300612581	0.0694735970828239	0.071439538144907	0.0682528113055647	0.0622761937202747	0.0665091124132183	0.0947536047845275	0.0619602880417765	-0.0123581991179316	-0.0124491721935316	-0.10408721673453	-0.0283639954195917	0	-0.0267614606495335	-0.0224713983523255	-0.0546667515105792	-0.0663900880488639	-0.0261510782493923
"hokD"	0.132378421856172	-0.0248694714371459	0.00492018780048604	-0.00784288251678069	0.0973808713882332	-0.0610842316468827	0.0310929842792664	0.135478870891834	0.00786962949700216	-0.108958280209768	-0.113608146016792	0.11331842769183	1	0.007150321810757	0	0.102587097563494	0.00999396226674742	0.009530257297636	-0.139375461541872	0.0219922160464568	0	0.148693847387181	-0.0184805574772739	0.125064894047078	-0.249644812156535	0.00940067399406222	0	-0.00744107327014776	0.0107672054723442	0.13262515397258	0.00764386241307966	0	-0.061396413213562	-0.00713597781127975	-0.131802050214268	0.00868943064845271	0.00885211924001527	0.00518239492135488	-0.131842771710111	-0.0600179594641977	-0.133177600770206	-0.00736671187985551	-0.0786499647857338	-0.0902604830154369	-0.00699633702944405	-0.00688652726794969	-0.134376826564175	-0.0631069508081506	-0.00698931374821269	-0.00704186079642851	0.129597195981496	0.129916713523622	-0.0071892801509132	0.0077219023080815	-0.0285810512378503	0.126144916542073	0.0960249568287181	0.128125972549931	0.138827985085765	0.131688699681681	0.00660372635654488	0.13879300119186	0.00974550350501569	0.00975976390066	-0.00426942456961218	-0.0652411928274487	0.150876426869358	-0.0616465367079372	-0.00699548558562165	-0.0200033172742249	0.0169634477986583	-0.0604074182340472
"hsdS"	0	0	0	0	0	0	0	0	0	0	-0.00126608988010559	0.0950814860842715	0.007150321810757	1	0	0	0.00257725085339976	0	0	0	0	0	0	0.0275440056429841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160571848396907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.140926943500944	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0.0235454674189508	-0.007095940542401	0	0	0.0328384025265338	0	0	0.0222353633461894	0	0	-0.0207256788027128	0.072491697038602	0.102587097563494	0	0	1	0	0	0	0	0	0.00329301875240763	0	0.0392248694168629	-0.0283064242223872	0	0	0	0	0.0234748376618764	0	0	0	0	-0.0263901816419114	0	0	0	-0.0263723604191344	0	-0.0256072539813936	0	-0.00526047605572123	0	0	0	-0.0231525954650357	0	0	0	0.0247162505318522	0.0346458820811538	0	0	-0.0086987263792949	0.0262200584404169	0.0334487931097451	0.0253371054180012	0.0191628017672999	0.0238756506655542	0	0.0188803053361581	0	0	0	0	0.0129845797200223	0	0	-0.0351071621952189	0.00740209306486713	0
"hyfA"	0	0	-0.0027412511628517	0	0	0	0	0	-0.00537692463006641	0	-0.0054630939430678	0.0949932362511512	0.00999396226674742	0.00257725085339976	0	0	1	-0.00702619534912132	0	0	-0.0128923066013919	0	0	0.0365071328336595	0	-0.00684982783658673	0	0	-0.00867279665617773	0	-0.005118882298724	0	0	0	0	0.00824257095612711	-0.00618764556302569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271904841282667	0	0.00457901819721623	0	0	0	0	0	0	0.00146648554287773	0	-0.007264619040288	-0.00733850684657911	0	0	0	0	0	-0.000610757973531207	-0.134292952807276	0
"iap"	0	0	0.0163779968467147	0	0	0	0	0	0.0191466103009794	0	0.00243640366484496	-0.0120160669757817	0.009530257297636	0	0	0	-0.00702619534912132	1	0	0	0	0	0	0	0	0.0207080750877791	0	0	0.0226343394360397	0	0.0188822348010425	0	0	0	-0.000790145747321545	-0.00125646269095538	0.0200108360557197	0	-0.000720983653787764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0211908767067223	0.0212686665909605	0	0	0	0	0	-8.15855915798877e-05	0.199264916055239	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0.00388374432711868	0	-0.139375461541872	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0692941025502822	0
"infB"	0	0	0	0	0	-0.0018198368440392	0	0	0	0	-0.164668449816219	0.0509412376424507	0.0219922160464568	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.00298915498924752	0	0	0	0	0	0	0	0	0	-0.0396839318471865	0	0	0	0	-0.00685671698778757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0125969028526038	0	-0.0035794755422506	0	0.179996784805602	-0.0952083956761216	-0.000258843679124306
"infC"	0	0.0039300371501571	0	0	0	0	0	0	0	0	0	-0.109298246611886	0	0	0	0	-0.0128923066013919	0	0	0	1	0	0	-0.0449935832479597	0	0	0	0	0	0	0	0	0	0	0	-0.00468144833742115	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00378777451548022	0	-0.031562513208067	0	0	0.00456055716921434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14801831433999	0.182084661329848	0
"malT"	0	0	0	0	0.0108437968100302	0	0	0	0	0	-0.00194770596024191	0	0.148693847387181	0	0	0.00329301875240763	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013245406040898	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173231460273687	0
"metH"	0	0	0	0	0	0	0	0	0	0	0.123814514829074	-0.0806184425991235	-0.0184805574772739	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181618146065915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.080995215406675	0.160630683922092	0
"mokC"	0.0159611048520637	-0.0180858811709159	0	-0.011551697636888	0.0416869173441575	0	0	0.0125624706258144	0	0	-0.0222640092140037	0.165889446896302	0.125064894047078	0.0275440056429841	0	0.0392248694168629	0.0365071328336595	0	0	0	-0.0449935832479597	0	0	1	-0.0106237707191541	0	0	-0.00736954466694755	0	0.0157523886141536	0	0	0	-0.00506459727524176	0	0.0323665251699943	0	0.0190155866194682	0	0	0	-0.00689288273918501	0	-0.0241992795600761	0	0	0	0	0	0	0.0191598224663441	0.0869153810029005	-0.00559371875392177	0.0293909446844327	-0.0186567367435985	0.0234402190269511	0.0425642074064849	0.0209201031471031	0.00597275888074677	0.0168020322759166	0.0265170094778303	0.0054599371464896	0	0	-0.00279546490809425	0	0	0	0	-0.0727049593942823	-0.0756870611233137	0
"mreB"	0	0	0	0	-0.0373161561451239	0	0	0	0	0	0.0355279508213533	-0.110649108088841	-0.249644812156535	0	0	-0.0283064242223872	0	0	0	0	0	0	0	-0.0106237707191541	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0402395803717331	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00108329666422346	0
"mreC"	0	0	0.0161709819889916	0	0	0	0	0	0.0189398175084356	0	0.0023578395109852	-0.0118109319114374	0.00940067399406222	0	0	0	-0.00684982783658673	0.0207080750877791	0	0	0	0	0	0	0	1	0	0	0.0224583739946859	0	0.0186835654393029	0	0	0	-0.000599696207034208	-0.00103250961533337	0.0198132939646741	0	-0.000528212035430955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0210010698708484	0.0210769278333866	0	0	0	0	0	-6.91432053282027e-05	0.199476759426181	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0.00598402406252282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120405865303591	0
"nudC"	0	0.0230124546718775	0	0.0147480316906982	0	0	0	0	0	0	-0.0591099875673284	-0.0335752718658184	-0.00744107327014776	0	0	0	0	0	0	0	0	0	0	-0.00736954466694755	0	0	0	1	0	0	0	0	0	0.0113415074318443	0	0	0	0	0	0	0	0.0123508160022526	-0.00704810308002105	0	0.00652719940126398	0.00186417529390925	0	0	0.00516420424624517	0	0	0	0.0116236243758704	0	0.0248252071612633	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00572199473480071	0.184522806423696	0	0
"oppD"	0	0	0.0183431751161525	0	0	0	0	0	0.0209659998840009	0	0.00300733956259264	-0.0140073397935013	0.0107672054723442	0	0	0	-0.00867279665617773	0.0226343394360397	0	0	0	0	0	0	0	0.0224583739946859	0	0	1	0	0.020731974685247	0	0	0	-0.00247916917773404	-0.0031835221636365	0.0218007709956812	0	-0.00240806523153292	0	-0.000186945453459038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0229209511996055	0.0229955337972637	0	0	0	0	0	-0.000233514527093096	0.197013279770938	0
"phoH"	0.000733512304892079	0	0	0	0.0276982100987436	0	0	0	0	0	-0.00748867267559412	0.0660957946735778	0.13262515397258	0	0	0.0234748376618764	0	0	0	0	0	0	0	0.0157523886141536	0	0	0	0	0	1	0	0	0	0	-0.00747343252924149	0	0	0	-0.00740596106029135	0	-0.00517768780439502	0	0	0	0	0	0	0	0	0	0.00377407303664288	0.00677698160140972	0	0	0	0.00756171512967053	0.0291374906304951	0.00534688550177004	0	0.00156981437157502	0	0	0	0	0	0	0	0	0	-0.021682284441309	0.0245552028390053	0
"prlA"	0	0	0.014141669440158	0	0	0	0	0	0.0170304816422496	0	0.00158388327362774	-0.00987007200977774	0.00764386241307966	0	0	0	-0.005118882298724	0.0188822348010425	0	0	0	0	0	0	0	0.0186835654393029	0	0	0.020731974685247	0	1	0	0	0	0	0	0.0179610392850224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0192071084475665	0.0192973918052273	0	0	0	0	0	0	0.201186232085915	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0.0146795399515687	0	0	0	0	0.115502134320248	-0.026695288195549	-0.061396413213562	0	0	0	0	0	0	-0.00298915498924752	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.013563694860309	0	0	0.0350045101661055	0	0	0	0	0.0172158385222967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0200578306921773	0	0.0155154978738232	0	-0.116199157157519	0.00654066823093131	0.0138785812612967
"rbsB"	0	0.0221799247341793	0	0.0135665977076384	0	0	0	0	0	0	-0.0600317489613767	-0.0308635542853405	-0.00713597781127975	0	0	0	0	0	0	0	0	0	0	-0.00506459727524176	0	0	0	0.0113415074318443	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0110865468646496	-0.00664478401722097	0	0.00507345925808634	0.000261215150264982	0	0	0.00367086630689823	0	0	0	0.0103449951260124	0	0.0240842999508038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00425077676748184	0.186860837481554	0	0
"rbsD"	-0.00761446805896912	0	0	0	-0.0309643649724461	0	0	-0.00473810766886768	0	0.010219990475576	0.0120795486550569	-0.0324513767051411	-0.131802050214268	0	0	-0.0263901816419114	0	-0.000790145747321545	0	0	0	0	0	0	0	-0.000599696207034208	0	0	-0.00247916917773404	-0.00747343252924149	0	0	0	0	1	0	0	0	0.0376587100515035	0	0.0367122455276258	0	0	0	0	0	0.0343436292830746	0	0	0	-0.0100335605801268	0	0	0	0	-0.0130007100894142	-0.0324196299121466	-0.0112764615339575	0	-0.00831167018556284	0	0	-0.00107270317136075	-0.00115621508188482	0	0	-0.0122390385530916	0	0	0.000941628146312934	-0.110665392657986	0
"rbsR"	0	0	0	0	0	0	0	0	0	0	-0.00257994900139758	0.0956853561805994	0.00868943064845271	0	0	0	0.00824257095612711	-0.00125646269095538	0	0	-0.00468144833742115	0	0	0.0323665251699943	0	-0.00103250961533337	0	0	-0.0031835221636365	0	0	0	0	0	0	1	-0.000270755297615907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219755820224921	0	0	0	0	0	0	0	0	0	0	-0.00159833490299172	-0.00170534387167937	0	0	0	0	0	0	-0.142010198742084	0
"rfbB"	0	0	0.0154169925445205	0	0	0	0	0	0.0182203847626063	0	0.00210217273343684	-0.0110715800247346	0.00885211924001527	0	0	0	-0.00618764556302569	0.0200108360557197	0	0	0	0	0	0	0	0.0198132939646741	0	0	0.0218007709956812	0	0.0179610392850224	0	0	0	0	-0.000270755297615907	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203514636590239	0.0204390947454018	0	0	0	0	0	-2.56764732945659e-05	0.200284874637375	0
"rne"	0	0	0	0	0	0	0	0	0	0	-0.000512353949523458	0.092414974543414	0.00518239492135488	0	0	0	0	0	0	0	0	0	0	0.0190155866194682	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00603240235631499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.132833589127834	0
"rplF"	-0.00755037801039956	0	0	0	-0.0309529749241067	0	0	-0.00466175839843553	0	0.0101333367243373	0.0120582175617111	-0.0324878469730017	-0.131842771710111	0	0	-0.0263723604191344	0	-0.000720983653787764	0	0	0	0	0	0	0	-0.000528212035430955	0	0	-0.00240806523153292	-0.00740596106029135	0	0	0	0	0.0376587100515035	0	0	0	1	0	0.0367127676489243	0	0	0	0	0	0.0343539292368529	0	0	0	-0.00997244546644391	0	0	0	0	-0.0129495173911028	-0.0324165032428488	-0.0112262908960896	0	-0.00825047083594324	0	0	-0.00101582296601786	-0.00109274689778413	0	0	-0.0121240496873309	0	0	0.000900541947579694	-0.110688168060587	0
"rpsA"	0	0	0	0	0	0.0130196216815731	0	0	0	0	0.116323724075499	-0.0259063924499845	-0.0600179594641977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013563694860309	0	0	0	0	0	0	1	0	0	0.0342862383125397	0	0	0	0	0.0156853234247119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186709403337456	0	0.0138983648187639	0	-0.116548707621429	0.00757784879730422	0.01217761987237
"rpsC"	-0.00533208700637829	0	0	0	-0.030432129045931	0	0	-0.00222318724918109	0	0.00695770980041696	0.0107350239330609	-0.033114539671807	-0.133177600770206	0	0	-0.0256072539813936	0	0	0	0	0	0	0	0	0	0	0	0	-0.000186945453459038	-0.00517768780439502	0	0	0	0	0.0367122455276258	0	0	0	0.0367127676489243	0	1	0	0	0	0	0	0.0332522021325208	0	0	0	-0.00795207779082554	0	0	0	0	-0.0111736105782957	-0.0319801049844514	-0.0093103924223101	0	-0.00608603907938981	0	0	0	0	0	0	-0.00842501817189362	0	0	0.000153815150674249	-0.111068138998055	0
"sapF"	0	0.0228568398297648	0	0.0145124171841306	0	0	0	0	0	0	-0.0593273508177847	-0.0329706241502422	-0.00736671187985551	0	0	0	0	0	0	0	0	0	0	-0.00689288273918501	0	0	0	0.0123508160022526	0	0	0	0	0	0.0110865468646496	0	0	0	0	0	0	0	1	-0.00698498183976116	0	0.00625659735693271	0.00156588883315648	0	0	0.00488785320937122	0	0	0	0.0113881938348292	0	0.0246970989439609	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00544420741082118	0.185014771779385	0	0
"speG"	0	-0.00851902110961565	0	-0.0073758612978813	-0.00898770101636962	0.0348073860491093	0	0	0	0	0.100284447323642	-0.0332861176703565	-0.0786499647857338	0	0	-0.00526047605572123	0	0	0	-0.0396839318471865	0	0	0.0181618146065915	0	0	0	0	-0.00704810308002105	0	0	0	0	0.0350045101661055	-0.00664478401722097	0	0	0	0	0	0.0342862383125397	0	-0.00698498183976116	1	0	-0.00413664728080538	-0.000372437992473483	0	0.0359134754124051	-0.00311654717729342	0.0270754614180335	0	0	-0.00675118557388212	0	-0.00919846767298364	0	-0.0102175109896507	0	0	0	0	0	0	0	0	0.0371568696234798	0	0.0351518070356715	-0.00356528753655995	-0.0964554741748503	0	0.0344680485542449
"spoT"	0	0	0	0	0	0	0	0	0	0	0.0379971115202893	-0.147059428406455	-0.0902604830154369	0	0	0	0	0	0	0	0	0	0	-0.0241992795600761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.000947321939562945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133525925239928	0
"thiI"	0	0.0188313509771204	0	0.00901519823066821	0	0	0	0	0	0	-0.0608450653102413	-0.023344645652282	-0.00699633702944405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00652719940126398	0	0	0	0	0	0.00507345925808634	0	0	0	0	0	0	0	0.00625659735693271	-0.00413664728080538	0	1	0	0	0	0	0	0	0	0.00542305852282466	0	0.0210204091808158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192275740679465	0	0
"thrA"	0	0.0155322346081621	0	0.00462399632033552	0	0	0	0	0	0	-0.0581810404209864	-0.0212458434859139	-0.00688652726794969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186417529390925	0	0	0	0	0	0.000261215150264982	0	0	0	0	0	0	0	0.00156588883315648	-0.000372437992473483	0	0	1	0	0	0	0	0	0	0.000647383206448868	0	0.0179532429622089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194808053714515	0	0
"trkH"	0	0	0	0	-0.0286054821123841	0	0	0	0	0	0.00930902978042587	-0.0331824825867232	-0.134376826564175	0	0	-0.0231525954650357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343436292830746	0	0	0	0.0343539292368529	0	0.0332522021325208	0	0	0	0	0	1	0	0	0	-0.00270921963437783	0	0	0	0	-0.00647852094521647	-0.0303322236305747	-0.00431358655356594	0	-0.000539584955943476	0	0	0	0	0	0	0	0	0	0	-0.108245695690037	0
