Cov	Method	Power	Power_025	Power_975
0.05	Eig	0.056	0.0	0.12
0.05	MCD_k1	0.051	0.0	0.12
0.05	MCD_k3	0.054	0.0	0.12
0.05	MPD_k1	0.049	0.0	0.12
0.05	MPD_k3	0.055	0.0	0.12
0.1	Eig	0.067	0.0	0.14
0.1	MCD_k1	0.057	0.0	0.12
0.1	MCD_k3	0.073	0.02	0.16
0.1	MPD_k1	0.06	0.0	0.14
0.1	MPD_k3	0.08	0.02	0.16
0.15	Eig	0.14	0.06	0.24
0.15	MCD_k1	0.092	0.02	0.18
0.15	MCD_k3	0.143	0.06	0.24
0.15	MPD_k1	0.104	0.02	0.2
0.15	MPD_k3	0.144	0.06	0.24
0.2	Eig	0.232	0.12	0.36
0.2	MCD_k1	0.141	0.06	0.24
0.2	MCD_k3	0.256	0.14	0.38
0.2	MPD_k1	0.16	0.06	0.26
0.2	MPD_k3	0.276	0.16	0.4
