"mreB"	"nadR"	"pykF"	"rbsD"	"spoT"	"trkH"	"yfaQ"	"yhdG"	"yieO"
"mreB"	1	0	0	0.297901028851414	0	0.289789011030151	-0.275365817074589	0	0
"nadR"	0	1	0	0	-0.290009248611609	0	0	-0.255505907973141	0.272821479412934
"pykF"	0	0	1	0	0	0	0	0	0
"rbsD"	0.297901028851414	0	0	1	0	0.295918146816646	-0.28144501496882	0	0
"spoT"	0	-0.290009248611609	0	0	1	0	0	0.270261413641947	-0.333506756911536
"trkH"	0.289789011030151	0	0	0.295918146816646	0	1	-0.273406724412593	0	0
"yfaQ"	-0.275365817074589	0	0	-0.28144501496882	0	-0.273406724412593	1	0	0
"yhdG"	0	-0.255505907973141	0	0	0.270261413641947	0	0	1	-0.298945847929361
"yieO"	0	0.272821479412934	0	0	-0.333506756911536	0	0	-0.298945847929361	1
