"ECB_01992"	"fabF"	"hokB"	"mreB"	"mreC"	"nadR"	"prlA"	"pykF"	"rbsB"	"rbsD"	"rbsR"	"spoT"	"trkH"	"ybeB"	"yfaQ"	"yhdG"	"yieO"
"ECB_01992"	1	0	-0.0524731851109994	0	0	-0.0679837100247197	0	0	0.280485440034417	-0.00337489065356109	0	0.107506218206214	0	-0.0957115606402468	0	0.279022577498035	-0.0618733046281541
"fabF"	0	1	0	0.0615598271067778	0	-0.00860719576037445	0	0	0	0.336596697976144	0	0	0.314127490503811	-0.00785351831731689	0	0	-0.00466088427743814
"hokB"	-0.0524731851109994	0	1	-0.152760378833203	0	0.133097625231898	0	0	-0.0239634104475104	-0.00424293346174828	0	-0.109381016037063	0	0.164365400620497	0	-0.0195815442867734	0.131308774248356
"mreB"	0	0.0615598271067778	-0.152760378833203	1	0	-0.199313062456828	0	0	0	0.0952581295799258	0	0.108153979754972	0.0581262190164622	-0.239864994907051	0	0	-0.18314298694018
"mreC"	0	0	0	0	1	0.163179319106019	0.340194799813623	0	0	0	-0.0434973892540569	0	0	0	-0.0297360292118949	0	0.156070620189701
"nadR"	-0.0679837100247197	-0.00860719576037445	0.133097625231898	-0.199313062456828	0.163179319106019	1	0.1583162714398	0	-0.0461130364591968	-0.023522496780727	0	-0.133113039596593	-0.00723423156231959	0	0	-0.0427059036655493	0.311545190230739
"prlA"	0	0	0	0	0.340194799813623	0.1583162714398	1	0	0	0	-0.0382984455670642	0	0	0	-0.0241692079365692	0	0.150899012879064
"pykF"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"rbsB"	0.280485440034417	0	-0.0239634104475104	0	0	-0.0461130364591968	0	0	1	0	0	0.0715479112553687	0	-0.0766889140971848	0	0.263646481684636	-0.0372188746579094
"rbsD"	-0.00337489065356109	0.336596697976144	-0.00424293346174828	0.0952581295799258	0	-0.023522496780727	0	0	0	1	0	0	0.334900839872593	-0.0231728879892868	0	0	-0.0219797850687015
"rbsR"	0	0	0	0	-0.0434973892540569	0	-0.0382984455670642	0	0	0	1	0	0	0.258928775091356	0.38798931323373	0	0
"spoT"	0.107506218206214	0	-0.109381016037063	0.108153979754972	0	-0.133113039596593	0	0	0.0715479112553687	0	0	1	0	-0.170039543312612	0	0.065987876701181	-0.123674394249073
"trkH"	0	0.314127490503811	0	0.0581262190164622	0	-0.00723423156231959	0	0	0	0.334900839872593	0	0	1	-0.00627643367685853	0	0	-0.00302994715749023
"ybeB"	-0.0957115606402468	-0.00785351831731689	0.164365400620497	-0.239864994907051	0	0	0	0	-0.0766889140971848	-0.0231728879892868	0.258928775091356	-0.170039543312612	-0.00627643367685853	1	0.238338362182599	-0.073486771608669	0
"yfaQ"	0	0	0	0	-0.0297360292118949	0	-0.0241692079365692	0	0	0	0.38798931323373	0	0	0.238338362182599	1	0	0
"yhdG"	0.279022577498035	0	-0.0195815442867734	0	0	-0.0427059036655493	0	0	0.263646481684636	0	0	0.065987876701181	0	-0.073486771608669	0	1	-0.0333332671892158
"yieO"	-0.0618733046281541	-0.00466088427743814	0.131308774248356	-0.18314298694018	0.156070620189701	0.311545190230739	0.150899012879064	0	-0.0372188746579094	-0.0219797850687015	0	-0.123674394249073	-0.00302994715749023	0	0	-0.0333332671892158	1
