"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lon"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"rbsD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146276927575589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767314593977973	-0.12566566192773	0	0
"rbsR"	0	0	0	0	0	0	0	0	0	0	0.115240587919384	0	0	0	0	0	0	0.00348694105098763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0556208376054995	-0.0620896463381392	-0.0989835923069483	0	0
"recO"	0	0	0	0	0	0	0	0	0	0	-0.0155436973168154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217537354264168	0	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	-0.00641022010729527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208465686784605	0	0
"rnb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19899939297821	0	0	-0.023497097882898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231150306331829	0	0
"rne"	0	0	0	0	0	0	0	0	0	0	0.134894278429094	0	0	0	0	0.00312382008610131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0497763785749302	-0.0399921587694098	-0.0669931070299771	0	0
"rpiR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17802688854529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0388097504505673	0	0	0.00148719015209975
"rplF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146837508856089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07649727711386	-0.125133014427425	0	0
"rpsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200219695289558	0	0	-0.0251454546618001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222701323353043	0	0
"rpsC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14890293459032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713527242423066	-0.118655139023889	0	0
"sapF"	0	0	0	0	0	0	0	0	0	0	-0.0310423163077209	0	0	0	0	0	0	-0.0273843307717266	-0.0412888466907232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171954030283307	0	0	0
"speG"	0	0	0	0	0	0	0	0	0	0	0.0294516160099692	0	0	0	0	0.238886369561729	0	0	-0.0430551050045315	0	0	0	0	0	0	0	0	0	0.0179560300315086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00614376948564659	0	0
"spoT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235590231985598	0	-0.0334479561023758	-0.102539962917419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114210422605793	0	0
"thiI"	0	0	0	0	0	0	0	0	0	0	-0.0301344549729064	0	0	0	0	0	0	-0.0193594995580542	-0.0319236781237991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172178224743747	0	0	0
"thrA"	0	0	0	0	0	0	0	0	0	0	-0.0296327119493017	0	0	0	0	0	0	-0.01415587471655	-0.0256238417709781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172132243225709	0	0	0
"trkH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.149934080476918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625782587995727	-0.108359655721343	0	0
"wzy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204399736051364	0	0	-0.0296359657217489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187485608303376	0	0
"ybaE"	0	0	0	0	0	0	0	0	0	0	-0.0299728393084998	0	0	0	0	0	0	-0.0176565521432905	-0.0299148791164203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172211316394944	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0.17428853094113	0	0	0	0	0.14769865921583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571921940184458	-0.00412260189275426	-0.0163616920176937	0	0
"ybbN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000451489698866034	0	0.00175203374595901	0.177318683339504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0405878789331279	0	0	0.0072206081828315
"ybeB"	0	0	0	0	0	0	0.000793030578380175	0	0	0	0.022010163165353	0	0	0	0	0	0	0.15604315582656	0.121908248323348	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0572455387126293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00392076430808329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213535077231184	-0.132034738350574	-0.088336182669531	0	0.0109370743403147
"ybeM"	0	0	0	0	0	0	0	0	0	0	0.10891356903586	0	0	0	0	0	0	0.0211053114935224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056105182377895	-0.0623313321719799	-0.106993709318659	0	0
"ybhP"	0	0	0	0	0	0	0	0	0	0	-0.0308235611765907	0	0	0	0	0	0	-0.0262319886473881	-0.040064718871187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172004516912571	0	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	0.120505356353505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0546477740469198	-0.0580734244370449	-0.0913139010830631	0	0
"yceK"	0	0	0	0	0	0	0	0	0	0	-0.0398900251712869	0	0	0	0	0	0	-0.0421003827342359	-0.0561950503049206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00686883337039166	0.18113289082163	0	0	0
"ycfC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00865585554170505	0	0.0211385982130528	0.172532444731908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0480496622215736	0	0	0.0155203500020755
"yebY"	0	0	0	0	0	0	0.0201725829068337	0	0	0	0	0	0	0	0	-0.0420328099665701	0	0.0787437787807335	0.163786010955265	0	0	0.0107230891602479	0	0	0	0	0	0	0	0	0	0	0.0192164041159034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392076430808329	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0661930620125048	0	0	0.0446596223167528
"yecE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00405524677004867	0	0.0102071844727209	0.1749992184769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0437564504146006	0	0	0.0108148013359138
"yeeF"	0	0	0	0	0	0	0	0	0	0	-0.00441094270550921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204761109297519	0	0
"yeeR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173050513318524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00754291143092409	0	0	0
"yeeU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177514997050528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0357140377084765	0	0	0
"yegO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172166398237853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.00455297818417612	0	0	0
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0.128340062280497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0545337204206158	-0.051181796681944	-0.0825066197693373	0	0
"yfcTU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172782395863664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.00660793926348014	0	0	0
"yggM"	0	0	0	0	0	0	0	0	0	0	-0.00727075150943797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.210128040324218	0	0
"yghS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00248917862232911	0	0.00669548430386461	0.175799528587722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0423882545748191	0	0	0.00922380571092654
"ygjD"	0	0	0	0	0	0	0	0	0	0	-0.00733028719183569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.21024957900399	0	0
"yhdG"	0	0	0	0	0	0	0	0	0	0	-0.142955248473289	0	0	0	0	-0.172448435494766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0203715982799378	0	0
"yhdJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208748453345062	0	0	-0.031487454570943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0019145326762057	0	0
"yieO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139276399405164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.147954468196216	0	0
"yihP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202396968007197	0	0	-0.0273386312622305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.00206799849828074	0	0
"yjcE"	0	0	0	0	0	0	0	0	0	0	-0.0301535915873716	0	0	0	0	0	0	-0.0182962015767052	-0.0304867820171517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.172218673830332	0	0	0
"yjiX"	0	-0.00179289326584046	0	-0.0477494578368829	0.0558052789458167	0	0	0	0	0	0.119004739096746	0.0544935980566716	0	0	0	0.0920778455823353	0	0.0371842514312652	0	0.0543553518203737	0	0	0.0561055852346869	0	0	0	-0.0602388139536844	0	0	0	0	0	0.0270417090374105	0	0	0	0	0	0	0	0.051978779397311	0	0	0	0	0	0	0.0556208376054995	0	0	0	0.0497763785749302	0	0	0	0	0	0	0	0	0	0	0	0	0.0571921940184458	0	0.0213535077231184	0.056105182377895	0	0.0546477740469198	-0.00686883337039166	0	0	0	0	0	0	0	0.0545337204206158	0	0	0	0	0	0	0	0	0	1	-0.0570959758110448	-0.075965215360628	0	0
"yjjY"	-0.0293700422496053	0.17697371447233	0	0.11594275143513	-0.0622547947604866	0.169503461458562	-0.0676895360799595	0	0	-0.157725192986154	-0.00998893816274365	-0.0509066250697705	-0.0183104239612294	0	0.0136983848217058	-0.112401779090728	0.0667182708838042	-0.050936289874675	0	-0.0539099262323284	0	-0.0648717240609729	-0.062651903237424	0	0	0	0.124473326716547	0	0	0	0	0.172078074735122	-0.13257134333749	0.0227106906825022	0	0	0	0.171938495933071	0	-0.0315253040689784	-0.0427811589815251	0	-0.0369264186424378	0	0	0.171963831822129	0.0767314593977973	-0.0620896463381392	0	0	0	-0.0399921587694098	-0.0388097504505673	0.07649727711386	0	0.0713527242423066	0.171954030283307	0	0	0.172178224743747	0.172132243225709	0.0625782587995727	0	0.172211316394944	-0.00412260189275426	-0.0405878789331279	-0.132034738350574	-0.0623313321719799	0.172004516912571	-0.0580734244370449	0.18113289082163	-0.0480496622215736	-0.0661930620125048	-0.0437564504146006	0	-0.00754291143092409	-0.0357140377084765	-0.00455297818417612	-0.051181796681944	-0.00660793926348014	0	-0.0423882545748191	0	0	0	0	0	0.172218673830332	-0.0570959758110448	1	-0.085278225071625	0	-0.0672728028480153
"ylcG"	0	0	4.81494711627323e-05	0.11220218453435	-0.102011555411394	0	0	0.197620837636247	0.000394494169287731	0.124379544567175	-0.00649751455776019	-0.0822350779300617	0	0.207002163230166	-0.219294680668148	0	-0.113320703105465	-0.0897480289848732	0.0923882387987063	-0.0854751327949063	0	0	-0.107704242368623	0.209492948825891	-0.0466723745629948	-0.0719230560895107	0.141373643043844	0.00238537142028802	0.00597195708133702	0.127885687916905	0.145076681948009	0	-0.0922028542993761	-0.0452025466125771	0.20938807239071	0.0911509463809817	0.183676318044895	0	0.211902124286595	0	-0.0707262567395256	0.206603195068738	0	0	0.00211256123692322	0	-0.12566566192773	-0.0989835923069483	0.217537354264168	0.208465686784605	0.00231150306331829	-0.0669931070299771	0	-0.125133014427425	0.00222701323353043	-0.118655139023889	0	0.00614376948564659	0.114210422605793	0	0	-0.108359655721343	0.00187485608303376	0	-0.0163616920176937	0	-0.088336182669531	-0.106993709318659	0	-0.0913139010830631	0	0	0	0	0.204761109297519	0	0	0	-0.0825066197693373	0	0.210128040324218	0	0.21024957900399	0.0203715982799378	0.0019145326762057	0.147954468196216	0.00206799849828074	0	-0.075965215360628	-0.085278225071625	1	0.000571888623000769	0.0052863109410868
"yqeB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200908646560397	0	0	-0.0258964575998298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000571888623000769	1	0
"yqhH"	0	0	0	0	0	0	0.0441054995488463	0	0	0	0	0	0	0	0	-0.0489962549494134	0	0.0515495154091352	0.194864392787535	0	0	0.0375456137245875	0	0	0	0	0	0	0	0	0	0	0.0200160835683142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148719015209975	0	0	0	0	0	0	0	0	0	0	0	0	0.0072206081828315	0.0109370743403147	0	0	0	0	0.0155203500020755	0.0446596223167528	0.0108148013359138	0	0	0	0	0	0	0	0.00922380571092654	0	0	0	0	0	0	0	-0.0672728028480153	0.0052863109410868	0	1
