"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lon"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"blr"	0	-0.0307341839530497	0	-0.0992069333726156	0.112845767348833	-0.0230586922428565	0	-0.0038254277621067	0	0	1	0.128546426655585	0	-0.0055539478963701	0	0.159563806412168	0	0.013427895445009	-0.0421192156743383	0.125196427752221	0	0	0.108047613449805	-0.00724997749395711	0	0.00260109294487284	-0.0920882235615496	0	0.0294732821091233	0	0	-0.0303137379197267	0.0258321701257672	0	-0.00711809174800942	0	-0.00276016868567789	-0.0311570486344275	-0.00920162741418615	0	0.134740173843676	-0.00524525792268624	0	0	0	-0.0308106070127159	0	0.115240587919384	-0.0155436973168154	-0.00641022010729527	0	0.134894278429094	0	0	0	0	-0.0310423163077209	0.0294516160099692	0	-0.0301344549729064	-0.0296327119493017	0	0	-0.0299728393084998	0.17428853094113	0	0.022010163165353	0.10891356903586	-0.0308235611765907	0.120505356353505	-0.0398900251712869	0	0	0	-0.00441094270550921	0	0	0	0.128340062280497	0	-0.00727075150943797	0	-0.00733028719183569	-0.142955248473289	0	0	0	-0.0301535915873716	0.119004739096746	-0.00998893816274365	-0.00649751455776019	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0.128546426655585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544935980566716	-0.0509066250697705	-0.0822350779300617	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.176553951609311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0183104239612294	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	-0.0055539478963701	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207002163230166	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0498087565816846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136983848217058	-0.219294680668148	0	0
"flgB"	0	0	0.209297962168137	0	0	0	-0.0391670598005361	0	0.201648646271546	0.0740082008530705	0.159563806412168	0	0	0	-0.0498087565816846	1	-0.149669486632773	-0.0294258849661472	-0.091773174591605	0	0	-0.0337404028625549	0	0	0	0	0	0.197510002579745	0.238760730044147	0	0.142447811678239	0	0	0	0	0.00889443761657445	0	0	0	0	0.00249270809954559	0	0	0	0.201956715862312	0	-0.146276927575589	0	0	0	0.19899939297821	0.00312382008610131	0	-0.146837508856089	0.200219695289558	-0.14890293459032	0	0.238886369561729	0.0235590231985598	0	0	-0.149934080476918	0.204399736051364	0	0.14769865921583	-0.000451489698866034	0	0	0	0	0	-0.00865585554170505	-0.0420328099665701	-0.00405524677004867	0	0	0	0	0	0	0	-0.00248917862232911	0	-0.172448435494766	0.208748453345062	0	0.202396968007197	0	0.0920778455823353	-0.112401779090728	0	0.200908646560397	-0.0489962549494134
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.149669486632773	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667182708838042	-0.113320703105465	0	0
"hokB"	0	-0.0452708292780142	0	-0.055221010621811	0.010396050350553	-0.033681133195498	0.0765559451137266	0	0	0	0.013427895445009	0	0	0	0	-0.0294258849661472	0	1	0.0993343058267953	0	0	0.0715539117400613	0.023438435632416	0	0	0	-0.123156006312948	0	0	0	0	-0.0209002452967671	0.166955899275319	0	0	0	0	-0.0277891683488831	0	0	0	0	0	0	0	-0.0259553712204024	0	0.00348694105098763	0	0	0	0	0	0	0	0	-0.0273843307717266	0	-0.0334479561023758	-0.0193594995580542	-0.01415587471655	0	0	-0.0176565521432905	0	0.00175203374595901	0.15604315582656	0.0211053114935224	-0.0262319886473881	0	-0.0421003827342359	0.0211385982130528	0.0787437787807335	0.0102071844727209	0	0	0	0	0	0	0	0.00669548430386461	0	0	0	0	0	-0.0182962015767052	0.0371842514312652	-0.050936289874675	-0.0897480289848732	0	0.0515495154091352
"hokD"	0.178106060797283	-0.0673745744898157	-0.0320976281730592	0	0	-0.0569456353921873	0.166266547068846	0	-0.0268198251929772	0	-0.0421192156743383	0	0.176553951609311	0	0	-0.091773174591605	0	0.0993343058267953	1	0	0	0.163508643003427	0	0	0	-0.108779165771797	-0.00014984674736305	-0.0212677192327464	-0.0428093086468928	0.121412430273692	0	-0.0336654355004067	0.124268236194871	-0.118632372480318	0	-0.000649304918975252	0	-0.0416382267205464	0	0.176935039180051	0	0	0.177870225243174	0	-0.0271295990499596	-0.0396947569719661	0	0	0	0	-0.023497097882898	0	0.17802688854529	0	-0.0251454546618001	0	-0.0412888466907232	-0.0430551050045315	-0.102539962917419	-0.0319236781237991	-0.0256238417709781	0	-0.0296359657217489	-0.0299148791164203	0	0.177318683339504	0.121908248323348	0	-0.040064718871187	0	-0.0561950503049206	0.172532444731908	0.163786010955265	0.1749992184769	0	0.173050513318524	0.177514997050528	0.172166398237853	0	0.172782395863664	0	0.175799528587722	0	0	-0.031487454570943	0.139276399405164	-0.0273386312622305	-0.0304867820171517	0	0	0.0923882387987063	-0.0258964575998298	0.194864392787535
"hsdS"	0	0	0	0	0	0	0	0	0	0	0.125196427752221	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0543553518203737	-0.0539099262323284	-0.0854751327949063	0	0
