"ECB_00737"	"ECB_01992"	"ECB_02012"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"appY"	"arcA"	"blr"	"cirA"	"cls"	"cpsG"	"cpxR"	"cusR"	"cycA"	"envZ"	"fabF"	"flgB"	"flu"	"galF"	"gltA"	"gmhB"	"hokB"	"hokD"	"hpaX"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lacZ"	"lon"	"lrp"	"malT"	"menC"	"metH"	"metJ"	"mntH"	"mokC"	"mreB"	"mreC"	"mtlD"	"nadR"	"narZ"	"nudC"	"oppD"	"pbpC"	"pflB"	"phoH"	"phoR"	"plsB"	"prlA"	"proX"	"pykA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapA"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybcU"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeI"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yicL"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjgM"	"yjgN"	"yjiX"	"yjjY"	"ylcG"	"yoaE"	"yqeB"	"yqhH"	"yrbA"
"appC"	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0863940236869008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122291941988521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00926635204286262	0	0	0	0	0	0
"appY"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.065303936348355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132862265057326	0	0	0	0	0
"arcA"	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0491329604977754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0507474318980778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0959006556173659	0.104327103556362	0	0	0	0
"blr"	0	0	0	-0.0907302199084818	0	0.0988339889014507	0	0	0.00124160493375076	0	-0.0863940236869008	0	-0.0491329604977754	1	0	0.0964860529222917	0	-0.093573924022303	0	0	0	0.0497237488565936	-0.108728540527186	0	0	0	0	0.148942320890987	0.0151948594239652	0	0.0490840818649997	0	0	0.100909708170547	0	0	-0.0176867761476114	0.0541543907722738	0	0	-0.0831190962330057	-0.099417920069967	-0.0425375832137208	0	-0.0412611102085603	0.113014860271905	0	0.0532059435839064	-0.0190750818279812	0	0.0969252102149021	-0.0445774584574309	0	0	0	0	0.0762395673459772	0	0	0.0909428118546404	0	0	0.0965327397205627	0	-0.0868684518384272	0	0	0.0979442073373343	0	0	-0.0844929898424038	0.0894295387503525	0	0	-0.0855051673862206	0	0	0	-0.0993822279074382	-0.0591913755012797	0	0.0552160506669505	0	-0.0885030585237248	0	0	0	0	0.105818427520417	0.100606188551401	0	0.0968604171869898	0	0	0.00126854757226263	0	0	0	0	0	0	0.0964591409045752	0	0	0	0	0	0	-0.0905468412576117	0	0	-0.0871077810632375	0	0	0	-0.0878671659004923	0.125891580315244	0.0814327976456085	0.00527936743809851	0	-0.0856935286041823	0.00579212194789996	0.000152284207956613
"cirA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092425687503628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0614136271777189	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0964860529222917	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.108402902011099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0211213268630101	0	-0.00575343977423599	0	0	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.0742400174811265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16096496860777	0	0	0	0	0
"cpxR"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.093573924022303	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126093139446812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0172829612149784	0	0	0	0	0	0
"cusR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193558705992142	0	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0961890783033527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0663947957318096	0	0	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176288795328358	0	0	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0497237488565936	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0414353975592671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176072636195523	0	-0.188419539554897	0	0	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.108728540527186	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139022889901113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0344922237373233	-0.00116531486605406	0	0	0	0	0
"flu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0900127130806907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0583268995062547	0	0	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0444044733401638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.183129670446888	0	0	0	0
"gltA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174308035843049	0	0	0	0
"gmhB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.130349672537783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0771331582667805	0	0	0	0	0
"hokB"	0	0	0	0	0	0	0	0	0.0626878981594004	0	0	0	0	0.148942320890987	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.202168699466159	0	0	0	0.0567161470253143	0	0	0	-0.185884000474775	0	0	0	0	0	0	0	0	0.0247987319231896	0	0	0	0	0	0	0	0	0	0	0.0227134290793745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0919280067209962	0	0	0	0	0	0.0636643732380981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148055851952477	0	0	0.0756063426192579	0	0.0113846310611126	0	0	0.0775471700136916	0.0593255418530956
"hokD"	0.10219455437524	-0.0825851787180246	0	0	-0.00191737012284833	0	0.0995766514624038	-0.0688459093843289	0.157702486422988	-0.00165716909053524	0	-0.065303936348355	0	0.0151948594239652	0.092425687503628	0	-0.0742400174811265	0	0	0.0961890783033527	0	0	0	0.0900127130806907	0	0	0.130349672537783	0.202168699466159	1	0	0	0	0.155888763851225	0	0	0	-0.0109631916860099	0	-0.0246962344714049	0.0881889261976985	0	0	0	0	0	0.00139696410462621	-0.0604919317155144	0.0847673063656577	-0.111616730975475	0	0	0	0	-0.0613497577467868	0	-0.0626294984303426	0.124584004226445	0.0998864422958693	-0.0605622746467818	0	0	0.103050643609317	0	0	0	-0.0605023153642557	-0.0090628806147171	0	0	0	0	0	0.104383141066536	-0.00880858152580141	0	0	0.0928399223969119	-0.0612052799121704	0	-0.0806268797861282	-0.0611331342741726	0	0	0	-0.0617973442076951	0	0.108672194296706	0	0.183569171351778	0	-0.0609378688394165	0	-0.0805886331254297	0.129454921964482	0.157587407333043	0.115607654495191	0	0.108218871205603	0.0897275570896832	0.10234643396366	0.0887537307351582	0	0.0894280145501372	0	0.112503765222318	0	-0.0610176403637431	0	0	0	0.117462897014651	0	-0.0615345656317391	0.142989273180235	0.136998327335254	0	0.000801425717120568	0	0	0.0946349253869931	0	0.158003228823471	0.15678269802261
"hpaX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173543636458302	0	0	0	0
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0490840818649997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0407693230001051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157310206522722	0	-0.185244047495431	0	0	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0.00667252039779717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0567161470253143	0.155888763851225	0	0	0	1	0	0	0	-0.00090992802206576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0086661836879908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0794686667193927	0	0	0	0.0311774510333838	0.00171444294175336
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100909708170547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.11278269661515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034633103808306	0	-0.0258881012128854	0	0	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180833239917233	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00760453494223827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.064832629089112	0	0	0	0
"ilvL"	0	-0.00415295726032536	0	0.124581954428227	0	-0.110411685996964	0	0	-0.00535582153785008	0	0.122291941988521	0	0.0507474318980778	-0.0176867761476114	0	-0.108402902011099	0	0.126093139446812	0	0	0	-0.0414353975592671	0.139022889901113	0	0.0444044733401638	0	0	-0.185884000474775	-0.0109631916860099	0	-0.0407693230001051	0	-0.00090992802206576	-0.11278269661515	0	0.00760453494223827	1	-0.0874288225142507	0	0	0.120168033790947	0.129845205454469	0.0438741011705586	0	0.042555281395951	-0.124001457235319	0	-0.129851945997238	0.0904493697336343	0	-0.108517115717159	0.0237305669402011	0	0	0	0	-0.0839292077838216	0	0	-0.1124712284796	0	0	-0.108375137093503	0	0.122544841714439	0	0.0418212416048297	-0.109445279911431	0	0	0.121064065472767	-0.110081809159074	0	0.041923408340886	0.121721914726792	0.0448190062231237	0	0	0.129825222372243	0.041556933402452	0	-0.0884827060507098	0.0438411321209374	0.123354947699975	0	0.00600184830303593	0	0	-0.104011875064571	-0.112425316465248	0	-0.108436267889344	-0.0100876783303269	0	-0.00533831356040096	0	0	0	0	0	0	-0.108357152738753	0	0	0	0	0	0	0.124455199277141	0	0	0.122620265142276	0	0	0	0.123008946008542	-0.139737348459643	-0.116138754733922	-0.0197836181750389	0	0.121832771046289	-0.0139171250724645	-0.0032445892231576
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0541543907722738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0874288225142507	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159414091911408	0	0	0	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0246962344714049	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13580410811085	0.170688640882258	0	0	0	0
"lacZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0881889261976985	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0592025876267427	0	0	0	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0831190962330057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120168033790947	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00595350648641874	0	0	0	0	0	0
